arm,HSC,STHSC,MPP2,FcG_neg_MPP3,FcG_pos_MPP3,MPP4,GMP,MkP,EryP,CLP
WT_vehicle,0.04809052333804809,0.05752003771805752,0.013672795851013672,0.005657708628005658,0.0,0.32531824611032534,0.42998585572843,0.0004714757190004715,0.06694955209806695,0.05233380480905234
WT_IL1,0.09005847953216374,0.12514619883040937,0.011695906432748537,0.0031189083820662767,0.0,0.242495126705653,0.4015594541910331,0.0,0.09668615984405458,0.029239766081871343
Tet2_vehicle,0.03183391003460208,0.07024221453287197,0.01245674740484429,0.00795847750865052,0.0,0.32006920415224915,0.4685121107266436,0.00034602076124567473,0.03910034602076125,0.04948096885813149
Tet2_IL1,0.06358668653750621,0.14803775459513163,0.007948335817188276,0.004967709885742673,0.0004967709885742673,0.2578241430700447,0.4307004470938897,0.0,0.06458022851465474,0.02185792349726776
