arm,HSC,FcG_pos_MPP3,GMP,MkP,EryP
WT_CTRL,0.8016932595245848,0.0019537609899055682,0.18886356235753826,0.0,0.007489417127971344
WT_LPS,0.5132496513249651,0.016736401673640166,0.3807531380753138,0.0041841004184100415,0.08507670850767085
Tet2_CTRL,0.3466981132075472,0.0047169811320754715,0.07861635220125786,0.0015723270440251573,0.5683962264150944
Tet2_LPS,0.8214285714285714,0.007142857142857143,0.14285714285714285,0.0,0.02857142857142857
